investor,node,hour,installed_power_mw,charge_bid_mw,discharge_bid_mw
I2,N6,19,11.01726032501606,0.19910144944486483,8.782680883747167
I2,N6,20,11.01726032501606,3.3691633608491975,6.546313129153768
I2,N6,21,11.01726032501606,4.168087411522324,7.731227017433751
I2,N6,22,11.01726032501606,4.514943257044203,1.8649418683872327
I2,N6,23,11.01726032501606,4.575565751280754,0.3551541014235091
I2,N6,24,11.01726032501606,4.6509785119573035,0.011124061941862603
I2,N7,1,0.0,0.0,0.0
I2,N7,2,0.0,0.0,0.0
I2,N7,3,0.0,0.0,0.0
I2,N7,4,0.0,0.0,0.0
I2,N7,5,0.0,0.0,0.0
I2,N7,6,0.0,0.0,0.0
I2,N7,7,0.0,0.0,0.0
I2,N7,8,0.0,0.0,0.0
I2,N7,9,0.0,0.0,0.0
I2,N7,10,0.0,0.0,0.0
I2,N7,11,0.0,0.0,0.0
I2,N7,12,0.0,0.0,0.0
I2,N7,13,0.0,0.0,0.0
I2,N7,14,0.0,0.0,0.0
I2,N7,15,0.0,0.0,0.0
I2,N7,16,0.0,0.0,0.0
I2,N7,17,0.0,0.0,0.0
I2,N7,18,0.0,0.0,0.0
I2,N7,19,0.0,0.0,0.0
I2,N7,20,0.0,0.0,0.0
I2,N7,21,0.0,0.0,0.0
I2,N7,22,0.0,0.0,0.0
I2,N7,23,0.0,0.0,0.0
I2,N7,24,0.0,0.0,0.0
I2,N8,1,12.479365315084465,4.578742998360688,0.6656321871200451
I2,N8,2,12.479365315084465,4.6182831003866545,0.0029907254729887207
I2,N8,3,12.479365315084465,4.616679593104214,0.002679193232550326
I2,N8,4,12.479365315084465,4.614868205632792,0.0008583427632444823
I2,N8,5,12.479365315084465,4.614768974763281,0.002815560151182085
I2,N8,6,12.479365315084465,4.612887423897405,0.003675511830582595
I2,N8,7,12.479365315084465,4.610391425310495,3.9987249156410227
I2,N8,8,12.479365315084465,5.013004354509356,0.09094196550548193
I2,N8,9,12.479365315084465,4.950815343104981,0.011939539327124497
I2,N8,10,12.479365315084465,4.937827336501488,1.8377798547734737e-07
I2,N8,11,12.479365315084465,4.937833474647594,1.7346736948681436e-07
I2,N8,12,12.479365315084465,0.0267071698504158,1.5486142186212214e-07
I2,N8,13,12.479365315084465,6.9119358792933205,0.011551400015449579
I2,N8,14,12.479365315084465,12.479365244793442,2.4796331252135255
I2,N8,15,12.479365315084465,7.266090691788232,4.395252258355303
I2,N8,16,12.479365315084465,1.8870603676258553e-07,2.660490645198873
I2,N8,17,12.479365315084465,1.750178375706413e-07,2.3830141655149406
I2,N8,18,12.479365315084465,1.8352563592232022e-07,0.013303644781195452
I2,N8,19,12.479365315084465,0.007522335478751715,9.273463320705767
I2,N8,20,12.479365315084465,3.3630178875073344,0.006170117622178154
I2,N8,21,12.479365315084465,3.3679437337149762,8.355753030314638
I2,N8,22,12.479365315084465,4.364513349037736,0.353205588059224
I2,N8,23,12.479365315084465,4.419266032118427,0.5922677977513997
I2,N8,24,12.479365315084465,4.581217898351585,0.004220209144245687
I2,N9,1,4.513028992593438,1.8959008827155204,0.003800969383406294
I2,N9,2,4.513028992593438,1.8910032413756157,0.0033960815796908873
I2,N9,3,4.513028992593438,1.8905466503244353,0.002961949779266701
I2,N9,4,4.513028992593438,1.8865283314644856,0.0008718651511291402
I2,N9,5,4.513028992593438,1.8860479261291363,0.0030868228434137107
I2,N9,6,4.513028992593438,1.8818981051351416,0.0040070121426550726
I2,N9,7,4.513028992593438,1.876547244487589,0.021857284679593303
I2,N9,8,4.513028992593438,1.8321197016648656,3.0735420346760702
I2,N9,9,4.513028992593438,1.9586579771868835,0.04773302159873301
I2,N9,10,4.513028992593438,1.9528353755348187,1.8138686222880457e-07
I2,N9,11,4.513028992593438,1.9528343018669716,1.6639264735717428e-07
I2,N9,12,4.513028992593438,0.924811653380808,1.582080085557169e-07
I2,N9,13,4.513028992593438,4.5130288306722655,0.37491982925422773
I2,N9,14,4.513028992593438,4.51302889001165,1.5077189382994471
I2,N9,15,4.513028992593438,3.4248623717650553,1.8526084147567812
I2,N9,16,4.513028992593438,2.075760228819356e-07,1.8799562704451767
I2,N9,17,4.513028992593438,1.7174474700052843e-07,0.1424239069687556
I2,N9,18,4.513028992593438,1.8059199596820063e-07,0.018983285055643537
I2,N9,19,4.513028992593438,0.010689666481082343,3.5207605561348525
I2,N9,20,4.513028992593438,1.3894998206874722,0.006771715770721914
I2,N9,21,4.513028992593438,1.3882614882898716,3.290834101769481
I2,N9,22,4.513028992593438,1.791581958489938,1.7012879333254334
I2,N9,23,4.513028992593438,1.9062919101275004,0.01245235297561741
I2,N9,24,4.513028992593438,1.9011936836644312,0.006949612755243014
I3,N1,1,1.0078226383127888e-06,4.0103598101756003e-07,3.968086303059735e-07
I3,N1,2,1.0078226383127888e-06,4.0144236037824247e-07,3.963426191734806e-07
I3,N1,3,1.0078226383127888e-06,4.019088131895711e-07,3.9578517091966113e-07
I3,N1,4,1.0078226383127888e-06,4.024317073913586e-07,3.9515248584293543e-07
I3,N1,5,1.0078226383127888e-06,4.030147224478541e-07,3.944453669925116e-07
I3,N1,6,1.0078226383127888e-06,4.036658706441569e-07,3.936584609013511e-07
I3,N1,7,1.0078226383127888e-06,4.043969011067604e-07,3.927826010680866e-07
I3,N1,8,1.0078226383127888e-06,4.0522343517306624e-07,3.9180532834220116e-07
I3,N1,9,1.0078226383127888e-06,4.0616559519435324e-07,3.907103055238712e-07
I3,N1,10,1.0078226383127888e-06,4.2071793350317907e-07,3.8516939777997826e-07
I3,N1,11,1.0078226383127888e-06,4.0470319668985054e-07,4.0309770660578806e-07
I3,N1,12,1.0078226383127888e-06,4.2094667440482275e-07,3.841768015000335e-07
I3,N1,13,1.0078226383127888e-06,4.140345263970692e-07,3.8589973460612166e-07
I3,N1,14,1.0078226383127888e-06,4.317398023045311e-07,3.8536920018800317e-07
I3,N1,15,1.0078226383127888e-06,4.167970434767032e-07,3.88821381564517e-07
I3,N1,16,1.0078226383127888e-06,4.0175212686205925e-07,3.959013370097702e-07
I3,N1,17,1.0078226383127888e-06,4.1505889009999394e-07,3.9148162178012773e-07
I3,N1,18,1.0078226383127888e-06,3.997147088123035e-07,3.981367521046688e-07
I3,N1,19,1.0078226383127888e-06,3.996190742588383e-07,3.9832626208149684e-07
I3,N1,20,1.0078226383127888e-06,3.9973676320347083e-07,3.9782729418280113e-07
I3,N1,21,1.0078226383127888e-06,3.997844654736828e-07,3.9823881271232075e-07
I3,N1,22,1.0078226383127888e-06,4.0000841996889126e-07,3.98006927039727e-07
I3,N1,23,1.0078226383127888e-06,4.003082068432772e-07,3.9767055180908505e-07
I3,N1,24,1.0078226383127888e-06,4.00680692417733e-07,3.9722441964118006e-07
I3,N2,1,1.008265778519374e-06,3.991232292600894e-07,4.0155627808666434e-07
I3,N2,2,1.008265778519374e-06,3.993927442548241e-07,3.9920971199648063e-07
I3,N2,3,1.008265778519374e-06,3.9977767235418616e-07,3.9862561056863236e-07
I3,N2,4,1.008265778519374e-06,4.0031314322443206e-07,3.976450563648073e-07
I3,N2,5,1.008265778519374e-06,4.011843362443652e-07,3.9684131390143014e-07
I3,N2,6,1.008265778519374e-06,4.0223845176576784e-07,3.956295065477375e-07
I3,N2,7,1.008265778519374e-06,4.0347700550054623e-07,3.9416722798756523e-07
I3,N2,8,1.008265778519374e-06,4.0486154816795466e-07,3.9255156727666714e-07
I3,N2,9,1.008265778519374e-06,4.063796335506831e-07,3.9082468319767816e-07
I3,N2,10,1.008265778519374e-06,4.191184791024101e-07,3.838000556902308e-07
I3,N2,11,1.008265778519374e-06,4.187561318369099e-07,3.843120302277306e-07
I3,N2,12,1.008265778519374e-06,4.1810840099552084e-07,3.850962217112868e-07
I3,N2,13,1.008265778519374e-06,4.1721122694766836e-07,3.8612862663314376e-07
I3,N2,14,1.008265778519374e-06,4.160896184860387e-07,3.873989925496892e-07
I3,N2,15,1.008265778519374e-06,4.1475835609555607e-07,3.88910858546571e-07
I3,N2,16,1.008265778519374e-06,4.1322314030479813e-07,3.906818872991433e-07
I3,N2,17,1.008265778519374e-06,4.1148130412287314e-07,3.9274549547203837e-07
I3,N2,18,1.008265778519374e-06,3.9832720612827136e-07,4.0022331745431547e-07
I3,N2,19,1.008265778519374e-06,3.9819423382727357e-07,4.004914959878565e-07
I3,N2,20,1.008265778519374e-06,3.98292630778938e-07,4.0003286119041885e-07
I3,N2,21,1.008265778519374e-06,3.9833168328865905e-07,4.004725237325308e-07
I3,N2,22,1.008265778519374e-06,3.985416953603163e-07,4.002609262428762e-07
I3,N2,23,1.008265778519374e-06,3.9880805543418183e-07,3.9996078572684303e-07
I3,N2,24,1.008265778519374e-06,3.9911308537617405e-07,3.995853699296045e-07
I3,N3,1,15.988125018878158,5.452228075032553,7.516337500488763
I3,N3,2,15.988125018878158,5.912506035887656,0.20264365024546638
I3,N3,3,15.988125018878158,5.908440445994419,0.08499153792054626
I3,N3,4,15.988125018878158,5.905410280672675,0.01215629539898341
I3,N3,5,15.988125018878158,5.9056357826674555,0.008826927785416425
I3,N3,6,15.988125018878158,5.8991317255588465,6.289021201107541
I3,N3,7,15.988125018878158,6.189497535953809,9.369114510847583
I3,N3,8,15.988125018878158,6.553376635857606,0.2759756428717634
I3,N3,9,15.988125018878158,6.5337395000035725,0.0403834507521676
I3,N3,10,15.988125018878158,5.49087814712954,1.5550598838792605e-07
I3,N3,11,15.988125018878158,6.938360694326713e-06,1.404439214615662e-07
I3,N3,12,15.988125018878158,9.624078184084025,1.3709737709046364e-07
I3,N3,13,15.988125018878158,15.988124829065997,3.3508684707340617
I3,N3,14,15.988125018878158,15.988124902694805,5.457751585348234
I3,N3,15,15.988125018878158,13.849838023675304,6.260376398864267
I3,N3,16,15.988125018878158,1.8069992058182418e-07,6.180998619480597
I3,N3,17,15.988125018878158,1.498799979260706e-07,6.290103430387252
I3,N3,18,15.988125018878158,1.5434085414807917e-07,1.7027824447597628
I3,N3,19,15.988125018878158,0.7670598764562492,0.06206198443434632
I3,N3,20,15.988125018878158,0.775220105160632,0.007247055295110251
I3,N3,21,15.988125018878158,0.7831510372611798,6.045493316659076
I3,N3,22,15.988125018878158,3.0016717561321906,7.661824022885808
I3,N3,23,15.988125018878158,4.217304796258601,1.73279055558256
I3,N3,24,15.988125018878158,4.448552218132097,7.648184847669727
I3,N4,1,1.0078226331257096e-06,4.0103597423936643e-07,3.9680861163128016e-07
I3,N4,2,1.0078226331257096e-06,4.0144235532723794e-07,3.96342597736412e-07
I3,N4,3,1.0078226331257096e-06,4.0190880809410895e-07,3.957851495606412e-07
I3,N4,4,1.0078226331257096e-06,4.024317017918481e-07,3.951524655145112e-07
I3,N4,5,1.0078226331257096e-06,4.0301471815849773e-07,3.9444534516407647e-07
I3,N4,6,1.0078226331257096e-06,4.0366586559127537e-07,3.9365844061865714e-07
I3,N4,7,1.0078226331257096e-06,4.0439689658931053e-07,3.92782580099597e-07
I3,N4,8,1.0078226331257096e-06,4.052234317965465e-07,3.918053059752433e-07
I3,N4,9,1.0078226331257096e-06,4.0616559364131834e-07,3.907102806479446e-07
I3,N4,10,1.0078226331257096e-06,4.207179457932982e-07,3.8516936897310923e-07
I3,N4,11,1.0078226331257096e-06,4.047031986754803e-07,4.0309766530760457e-07
I3,N4,12,1.0078226331257096e-06,4.2094668588827706e-07,3.8417677240579107e-07
I3,N4,13,1.0078226331257096e-06,4.140345337654018e-07,3.8589975340186894e-07
I3,N4,14,1.0078226331257096e-06,4.31739824303958e-07,3.8536917335870875e-07
I3,N4,15,1.0078226331257096e-06,4.167970501952193e-07,3.8882137479314716e-07
I3,N4,16,1.0078226331257096e-06,4.017521234627023e-07,3.959013124476097e-07
I3,N4,17,1.0078226331257096e-06,4.150588940282863e-07,3.914816006836267e-07
I3,N4,18,1.0078226331257096e-06,3.997146993260864e-07,3.9813673458721417e-07
I3,N4,19,1.0078226331257096e-06,3.99619063161569e-07,3.983262489329573e-07
I3,N4,20,1.0078226331257096e-06,3.997367574358258e-07,3.978272712737591e-07
I3,N4,21,1.0078226331257096e-06,3.9978445474759875e-07,3.982387987803674e-07
