fleet,case,gamma,node,hour,lambda_eur_per_mwh,hard_min_norm_lambda_eur_per_mwh,lambda_difference_eur_per_mwh,balance_residual_mw
with_penalty,hard_min_norm,,N8,10,52.200000512041925,52.200000512041925,0.0,0.0
with_penalty,hard_min_norm,,N8,11,49.91707365969535,49.91707365969535,0.0,0.0
with_penalty,hard_min_norm,,N8,12,38.47178533184866,38.47178533184866,0.0,0.0
with_penalty,hard_min_norm,,N8,13,38.47178532993905,38.47178532993905,0.0,0.0
with_penalty,hard_min_norm,,N8,14,38.471784126094896,38.471784126094896,0.0,0.0
with_penalty,hard_min_norm,,N8,15,38.471785328995054,38.471785328995054,0.0,0.0
with_penalty,hard_min_norm,,N8,16,38.47178740000219,38.47178740000219,0.0,0.0
with_penalty,hard_min_norm,,N8,17,52.20000051199274,52.20000051199274,0.0,0.0
with_penalty,hard_min_norm,,N8,18,60.000000589492615,60.000000589492615,0.0,0.0
with_penalty,hard_min_norm,,N8,19,60.00000059010184,60.00000059010184,0.0,0.0
with_penalty,hard_min_norm,,N8,20,60.000000590367,60.000000590367,0.0,0.0
with_penalty,hard_min_norm,,N8,21,60.00000059018568,60.00000059018568,0.0,0.0
with_penalty,hard_min_norm,,N8,22,60.00000059005165,60.00000059005165,0.0,0.0
with_penalty,hard_min_norm,,N8,23,60.00000058998637,60.00000058998637,0.0,0.0
with_penalty,hard_min_norm,,N8,24,60.00000058992328,60.00000058992328,0.0,0.0
with_penalty,hard_min_norm,,N9,1,60.000000589823706,60.000000589823706,0.0,0.0
with_penalty,hard_min_norm,,N9,2,60.00000058929041,60.00000058929041,0.0,0.0
with_penalty,hard_min_norm,,N9,3,60.000000585661596,60.000000585661596,0.0,0.0
with_penalty,hard_min_norm,,N9,4,60.000000461751576,60.000000461751576,0.0,0.0
with_penalty,hard_min_norm,,N9,5,60.000000587906555,60.000000587906555,0.0,0.0
with_penalty,hard_min_norm,,N9,6,60.00000058986399,60.00000058986399,0.0,0.0
with_penalty,hard_min_norm,,N9,7,60.000000589997185,60.000000589997185,0.0,0.0
with_penalty,hard_min_norm,,N9,8,60.00000058999688,60.00000058999688,0.0,0.0
with_penalty,hard_min_norm,,N9,9,60.000000589616455,60.000000589616455,0.0,0.0
with_penalty,hard_min_norm,,N9,10,52.200000512038166,52.200000512038166,0.0,0.0
with_penalty,hard_min_norm,,N9,11,46.720976066855094,46.720976066855094,0.0,0.0
with_penalty,hard_min_norm,,N9,12,35.275688506884784,35.275688506884784,0.0,0.0
with_penalty,hard_min_norm,,N9,13,35.275687769095526,35.275687769095526,0.0,0.0
with_penalty,hard_min_norm,,N9,14,35.275687726303545,35.275687726303545,0.0,0.0
with_penalty,hard_min_norm,,N9,15,35.27568850553272,35.27568850553272,0.0,0.0
with_penalty,hard_min_norm,,N9,16,35.275689809289034,35.275689809289034,0.0,0.0
with_penalty,hard_min_norm,,N9,17,52.20000051199087,52.20000051199087,0.0,0.0
with_penalty,hard_min_norm,,N9,18,60.00000058949987,60.00000058949987,0.0,0.0
with_penalty,hard_min_norm,,N9,19,60.00000059010196,60.00000059010196,0.0,0.0
with_penalty,hard_min_norm,,N9,20,60.00000059036355,60.00000059036355,0.0,0.0
with_penalty,hard_min_norm,,N9,21,60.000000590184044,60.000000590184044,0.0,0.0
with_penalty,hard_min_norm,,N9,22,60.000000590053,60.000000590053,0.0,0.0
with_penalty,hard_min_norm,,N9,23,60.000000589989675,60.000000589989675,0.0,0.0
with_penalty,hard_min_norm,,N9,24,60.000000589927595,60.000000589927595,0.0,0.0
with_penalty,gamma_1e-02,0.01,N1,1,59.999999999619625,60.000000589822726,-5.902031006144171e-07,-0.5999999999961962
with_penalty,gamma_1e-02,0.01,N1,2,59.99999999809017,60.000000589291375,-5.912012071007666e-07,-0.5999999999809017
with_penalty,gamma_1e-02,0.01,N1,3,59.99999998150713,60.000000585660736,-6.041536053658092e-07,-0.5999999998150713
with_penalty,gamma_1e-02,0.01,N1,4,52.20000000247631,60.00000046174878,-7.800000459272475,-0.5220000000247631
with_penalty,gamma_1e-02,0.01,N1,5,59.99999999382117,60.00000058790656,-5.940853924357725e-07,-0.5999999999382117
with_penalty,gamma_1e-02,0.01,N1,6,59.999999999712195,60.000000589863134,-5.901509396721849e-07,-0.599999999997122
with_penalty,gamma_1e-02,0.01,N1,7,59.99999999996943,60.00000058998724,-5.900178052797855e-07,-0.5999999999996943
with_penalty,gamma_1e-02,0.01,N1,8,59.99999999998726,60.00000058999818,-5.90010920120676e-07,-0.5999999999998726
with_penalty,gamma_1e-02,0.01,N1,9,59.99999999934219,60.00000058970437,-5.903621840275264e-07,-0.5999999999934219
with_penalty,gamma_1e-02,0.01,N1,10,52.2000000002961,52.200000512186925,-5.118908248391563e-07,-0.522000000002961
with_penalty,gamma_1e-02,0.01,N1,11,59.999999999594564,60.0000005897569,-5.901623367776665e-07,-0.5999999999959457
with_penalty,gamma_1e-02,0.01,N1,12,31.107358776847544,59.99999871578999,-28.892639938942448,-0.31107358776847543
with_penalty,gamma_1e-02,0.01,N1,13,31.107358901506753,60.00000051164864,-28.89264161014189,-0.31107358901506754
with_penalty,gamma_1e-02,0.01,N1,14,31.10735879317998,59.999997678070976,-28.892638884890996,-0.3110735879317998
with_penalty,gamma_1e-02,0.01,N1,15,31.107358771218486,59.99999871195699,-28.892639940738505,-0.31107358771218485
with_penalty,gamma_1e-02,0.01,N1,16,32.126244861695334,60.000000584422935,-27.8737557227276,-0.32126244861695336
with_penalty,gamma_1e-02,0.01,N1,17,52.20000000017498,52.20000051211019,-5.119352124438592e-07,-0.5220000000017498
with_penalty,gamma_1e-02,0.01,N1,18,59.99999999900983,60.000000589574384,-5.905645537040982e-07,-0.5999999999900983
with_penalty,gamma_1e-02,0.01,N1,19,60.00000000009072,60.00000059006774,-5.899770201267529e-07,-0.6000000000009073
with_penalty,gamma_1e-02,0.01,N1,20,60.0000000003581,60.000000590288174,-5.899300745682012e-07,-0.600000000003581
with_penalty,gamma_1e-02,0.01,N1,21,60.00000000016671,60.00000059012297,-5.899562651734414e-07,-0.6000000000016671
with_penalty,gamma_1e-02,0.01,N1,22,60.000000000027605,60.00000059002173,-5.899941228904027e-07,-0.6000000000002761
with_penalty,gamma_1e-02,0.01,N1,23,59.99999999995054,60.00000058997557,-5.900250314994082e-07,-0.5999999999995054
with_penalty,gamma_1e-02,0.01,N1,24,59.99999999984681,60.000000589921854,-5.900750466025784e-07,-0.5999999999984681
with_penalty,gamma_1e-02,0.01,N2,1,59.999999999504084,60.00000058975437,-5.902502877574989e-07,-0.5999999999950408
with_penalty,gamma_1e-02,0.01,N2,2,59.99999999797063,60.00000058921992,-5.912492895276955e-07,-0.5999999999797063
with_penalty,gamma_1e-02,0.01,N2,3,59.999999981388115,60.00000058558913,-6.042010127771391e-07,-0.5999999998138812
with_penalty,gamma_1e-02,0.01,N2,4,52.20000000236291,60.00000046167763,-7.800000459314717,-0.5220000000236291
with_penalty,gamma_1e-02,0.01,N2,5,59.99999999370225,60.00000058783508,-5.941328353742392e-07,-0.5999999999370225
with_penalty,gamma_1e-02,0.01,N2,6,59.999999999598316,60.00000058979599,-5.901976720679158e-07,-0.5999999999959832
with_penalty,gamma_1e-02,0.01,N2,7,59.9999999998774,60.00000058993406,-5.900566577565769e-07,-0.5999999999987741
with_penalty,gamma_1e-02,0.01,N2,8,59.99999999988874,60.0000005899418,-5.900530553049066e-07,-0.5999999999988874
with_penalty,gamma_1e-02,0.01,N2,9,59.99999999913207,60.00000058958008,-5.904480104845788e-07,-0.5999999999913207
with_penalty,gamma_1e-02,0.01,N2,10,52.200000000089055,52.200000512059596,-5.119705406286812e-07,-0.5220000000008905
with_penalty,gamma_1e-02,0.01,N2,11,52.19999999989876,52.20000051194426,-5.120455028873039e-07,-0.5219999999989876
with_penalty,gamma_1e-02,0.01,N2,12,52.19999999987231,52.200000511925765,-5.12053453860517e-07,-0.5219999999987232
with_penalty,gamma_1e-02,0.01,N2,13,52.199999999813926,52.20000051189305,-5.1207912576956e-07,-0.5219999999981393
with_penalty,gamma_1e-02,0.01,N2,14,52.19999999973338,52.20000051184895,-5.121155695064772e-07,-0.5219999999973338
with_penalty,gamma_1e-02,0.01,N2,15,52.199999999630386,52.20000051179253,-5.121621455828063e-07,-0.5219999999963039
with_penalty,gamma_1e-02,0.01,N2,16,52.19999999967904,52.20000051181318,-5.1213414309359e-07,-0.5219999999967904
with_penalty,gamma_1e-02,0.01,N2,17,52.20000000003142,52.20000051202169,-5.119902652950259e-07,-0.5220000000003142
with_penalty,gamma_1e-02,0.01,N2,18,59.99999999881826,60.00000058945998,-5.906417186452018e-07,-0.5999999999881827
with_penalty,gamma_1e-02,0.01,N2,19,60.0000000000548,60.00000059005089,-5.899960910937807e-07,-0.600000000000548
with_penalty,gamma_1e-02,0.01,N2,20,60.00000000038541,60.00000059031033,-5.899249160279396e-07,-0.6000000000038541
with_penalty,gamma_1e-02,0.01,N2,21,60.00000000016251,60.00000059012539,-5.899628803263113e-07,-0.6000000000016251
with_penalty,gamma_1e-02,0.01,N2,22,59.99999999996914,60.00000058998913,-5.900199866459843e-07,-0.5999999999996914
with_penalty,gamma_1e-02,0.01,N2,23,59.999999999859995,60.000000589922784,-5.900627897403865e-07,-0.5999999999986
with_penalty,gamma_1e-02,0.01,N2,24,59.99999999974037,60.00000058985919,-5.901188231405285e-07,-0.5999999999974037
with_penalty,gamma_1e-02,0.01,N3,1,59.99999999961839,60.00000058982367,-5.902052819806158e-07,-0.5999999999961839
with_penalty,gamma_1e-02,0.01,N3,2,59.999999998087496,60.00000058929037,-5.912028768761957e-07,-0.5999999999808749
with_penalty,gamma_1e-02,0.01,N3,3,59.9999999815088,60.00000058566157,-6.04152766925381e-07,-0.599999999815088
with_penalty,gamma_1e-02,0.01,N3,4,52.20000000248067,60.00000046175156,-7.8000004592708905,-0.5220000000248067
with_penalty,gamma_1e-02,0.01,N3,5,59.99999999382116,60.00000058790652,-5.940853569086357e-07,-0.5999999999382116
with_penalty,gamma_1e-02,0.01,N3,6,59.999999999710305,60.00000058986395,-5.901536468400082e-07,-0.5999999999971031
with_penalty,gamma_1e-02,0.01,N3,7,59.99999999998129,60.00000058999714,-5.900158512872622e-07,-0.5999999999998129
with_penalty,gamma_1e-02,0.01,N3,8,59.99999999997928,60.00000058999683,-5.900175494844007e-07,-0.5999999999997928
with_penalty,gamma_1e-02,0.01,N3,9,59.99999999919117,60.00000058961637,-5.904252020627609e-07,-0.5999999999919117
with_penalty,gamma_1e-02,0.01,N3,10,52.20000000005004,52.200000512038166,-5.119881265613913e-07,-0.5220000000005004
with_penalty,gamma_1e-02,0.01,N3,11,46.72097560952918,46.720976066855094,-4.573259175799649e-07,-0.46720975609529175
with_penalty,gamma_1e-02,0.01,N3,12,8.6428384062533,35.27568850688494,-26.63285010063164,-0.086428384062533
with_penalty,gamma_1e-02,0.01,N3,13,8.64283835096877,35.27568776909572,-26.63284941812695,-0.0864283835096877
with_penalty,gamma_1e-02,0.01,N3,14,8.642838353559934,35.27568772630373,-26.632849372743795,-0.08642838353559935
with_penalty,gamma_1e-02,0.01,N3,15,8.642838404530657,35.27568850553289,-26.632850101002234,-0.08642838404530657
with_penalty,gamma_1e-02,0.01,N3,16,9.346946693502662,35.275689809289034,-25.92874311578637,-0.09346946693502663
with_penalty,gamma_1e-02,0.01,N3,17,52.19999999997744,52.20000051199087,-5.120134289882117e-07,-0.5219999999997744
with_penalty,gamma_1e-02,0.01,N3,18,59.99999999888418,60.000000589499784,-5.906156061996626e-07,-0.5999999999888418
with_penalty,gamma_1e-02,0.01,N3,19,60.00000000013934,60.000000590101905,-5.899625676875075e-07,-0.6000000000013934
