hour,node,p_charge_mw,p_discharge_mw,soc_mwh,lambda_eur_per_mwh
14,N6,27.132165367139457,1.3734908925267215e-07,59.936433738415566,43.896864022499706
14,N7,31.502096120282918,1.3734907751301952e-07,71.92553103437712,43.89686207508336
14,N8,134.45758152608562,1.373490432236328e-07,280.57321905833754,43.89685282269176
14,N9,20.749986071196442,1.3734911436493304e-07,43.843942798402985,43.896868928163
15,N1,23.328399200363467,1.5113277708596984e-07,72.39174019989393,46.00792836884629
15,N2,21.08702898890673,1.511327692407361e-07,64.51604671732214,46.00792808586984
15,N3,22.71164117552659,1.5113277520406235e-07,70.25555930341568,46.00792831615536
15,N4,22.101813232185528,1.511327723720691e-07,68.37787488224171,46.007928155874815
15,N5,21.581041940002464,1.5113276847243306e-07,66.97139452524267,46.00792809949267
15,N6,26.66640113308933,1.5113278146601678e-07,84.89618503752054,46.007928556047915
15,N7,31.059843917564212,1.5113278093833556e-07,100.99754477975057,46.00792864234785
15,N8,98.1392158597836,1.5113282669953578e-07,372.4315249416283,46.00793047497455
15,N9,20.324628745744732,1.5113277716679425e-07,62.86779514295341,46.007928748817164
16,N1,17.026338827205354,1.5113283385612755e-07,88.32839318069144,46.007936498847485
16,N2,15.757561969569553,1.511328310232807e-07,79.26512455937255,46.00793667838243
16,N3,16.83152030240267,1.5113283311683674e-07,86.00986214499788,46.0079365571015
16,N4,16.715926469679744,1.5113283235053115e-07,84.02398189639526,46.007936650008844
16,N5,16.615297640154985,1.511328305408382e-07,82.52331295496104,46.00793671093862
16,N6,16.8846219905366,1.511328359588151e-07,100.7001910591961,46.00793642810589
16,N7,14.953522981979635,1.5113283591954195e-07,114.9940421294168,46.00793641406711
16,N8,5.862600120819941,1.5113284991822756e-07,377.91891849324907,46.00793536607671
16,N9,15.75262262481914,1.511328314149006e-07,77.61224975831743,46.00793643992985
17,N1,5.487691614979858e-07,2.1158061928312488e-07,88.32839346829171,54.99999994711317
17,N2,5.487690219774385e-07,2.1158064487068777e-07,79.26512484697267,54.99999995025125
17,N3,5.487691330269851e-07,2.1158062508287406e-07,86.00986243259811,54.999999965825275
17,N4,5.487690970474569e-07,2.1158063451862963e-07,84.02398218399544,54.999999978822146
17,N5,5.487690551324454e-07,2.1158064763797244e-07,82.52331324256117,54.99999998600963
17,N6,5.487692569407328e-07,2.1158059380206336e-07,100.70019134679649,54.999999964351474
17,N7,5.487693030542382e-07,2.1158057647127742e-07,114.99404241701725,54.999999968305026
17,N8,5.487692225895578e-07,2.1158057662985004e-07,377.9189187808495,54.99999995054029
17,N9,5.487686370668753e-07,2.1158072637492503e-07,77.6122500459171,54.99999997878667
18,N1,1.4564279876201462e-07,9.270734011155389,78.42376325081487,74.99999953483749
18,N2,1.456427986911383e-07,8.817966324943082,69.84422078997906,74.99999953399323
18,N3,1.456427987319388e-07,9.136473367679697,76.24867307353549,74.99999955295371
18,N4,1.4564279881923516e-07,8.71180847054614,74.71649463810968,74.99999956907247
18,N5,1.4564279896608148e-07,8.33956221409805,73.61352468860714,74.99999958658488
18,N6,1.4564279898025427e-07,9.728135807059058,90.30688399694394,74.99999956097145
18,N7,1.4564279928505064e-07,10.52612630340057,103.74818111808189,74.99999956398686
18,N8,1.4564279936714944e-07,13.860485735300088,363.1107076615086,74.9999995408449
18,N9,1.4564279868506853e-07,7.836905819999282,69.2394875540344,74.99999958120885
19,N1,1.4564279781051466e-07,11.09701891712463,66.56797394576405,74.9999999751426
19,N2,1.4564279791087303e-07,9.894210760823466,59.27348293396796,74.99999995937392
19,N3,1.456427978191794e-07,10.76415807467074,64.7485043266619,74.99999999059257
19,N4,1.456427978788225e-07,10.254626062986816,63.760697698590725,75.00000002556669
19,N5,1.4564279799552204e-07,9.807953609432895,63.13494190886801,75.00000006194031
19,N6,1.4564279785100755e-07,12.667064755715433,76.77369529168928,75.0000000189563
19,N7,1.456427980778668e-07,14.853021320424306,87.87956873258271,75.00000001296988
19,N8,1.4564279776728115e-07,56.0274552254923,303.25231546290263,75.00000002559398
19,N9,1.4564279777506713e-07,8.99029390300833,59.63447283671468,75.00000007237966
20,N1,1.4564279860091904e-07,8.715725612814483,57.25630141882238,74.9999999611148
20,N2,1.4564279889369905e-07,7.571559967306297,51.18420960094529,74.99999992332641
20,N3,1.456427986388578e-07,8.432494344128576,55.739429309000045,74.99999997430362
20,N4,1.45642798550293e-07,8.390300577994607,54.79670149090106,75.00000003726173
20,N5,1.4564279851023376e-07,8.371857766767553,54.1906495593269,75.00000010338351
20,N6,1.456427984046544e-07,10.379178969943816,65.6848290071308,75.0000000334716
20,N7,1.45642798557042e-07,12.098465417983263,74.95385795225559,75.00000002857138
20,N8,1.4564279773500565e-07,59.713857298005415,239.4554595116117,75.00000007495082
20,N9,1.4564279821363797e-07,7.878504378926575,51.21726743999512,75.00000013683972
21,N1,1.4564279918690188e-07,7.376595815568363,49.37532311970776,74.99999992311045
21,N2,1.456427995831341e-07,6.36730669316446,44.38153164627928,74.99999987404564
21,N3,1.456427992378114e-07,7.143932627211699,48.10702279231776,74.99999993568822
21,N4,1.4564279907638087e-07,7.251938467765737,47.04890411892598,75.00000001186098
21,N5,1.4564279895560096e-07,7.390284689128246,46.29504639529787,75.00000009281977
21,N6,1.4564279885909955e-07,8.914435246319231,56.160859863196876,75.00000001067049
21,N7,1.4564279896253493e-07,10.324685863831514,63.923210798158955,75.00000000840267
21,N8,1.4564279786817744e-07,49.313993831209174,186.76956880262443,75.00000006925512
21,N9,1.4564279861705864e-07,7.067673964990264,43.66633385303658,75.00000013812382
22,N1,1.4564279963706345e-07,6.576210418369373,42.34945742443821,74.99999987388827
22,N2,1.4564280005965935e-07,5.718975462794332,38.27151526252152,74.99999982314557
22,N3,1.4564279968223053e-07,6.397094765163476,41.27251997440493,74.99999988803827
22,N4,1.4564279951215634e-07,6.506672199279364,40.09733139276969,74.9999999659697
22,N5,1.456427993744555e-07,6.655830261615431,39.18411676493638,75.00000005028525
22,N6,1.4564279925049307e-07,7.9255268752416255,47.69341675673902,74.99999996770869
22,N7,1.4564279931687803e-07,9.128643510600916,54.17038667101809,74.99999996937818
22,N8,1.4564279811967838e-07,34.91649888485951,149.4656171388825,75.0000000320151
22,N9,1.456427990283132e-07,6.406913027940195,36.82134143814009,75.00000009896883
23,N1,1.4564280214913945e-07,4.031148583891544,38.042674885662066,74.9999994902363
23,N2,1.4564280270319127e-07,3.6187092388403537,34.40537304965477,74.99999942019068
23,N3,1.4564280220154664e-07,3.958856941659284,37.04297209613335,74.99999950340887
23,N4,1.4564280187380877e-07,4.116451515325141,35.69941324348758,74.99999960407686
23,N5,1.456428015663549e-07,4.310693418373028,34.57867521496207,74.999999713229
23,N6,1.4564280158465565e-07,4.6585529811134405,42.716330374777094,74.99999960990874
23,N7,1.4564280162884567e-07,5.051877632825769,48.77308164406436,74.99999961575371
23,N8,1.4564280028431523e-07,8.69020892764637,140.18120602771873,74.99999969838454
23,N9,1.4564280109772346e-07,4.298149045001896,32.22930199646827,74.99999978012578
24,N1,1.0711184803956287e-06,1.718181789137083e-07,38.042675704662535,55.000000015568105
24,N2,1.071118504721416e-06,1.7181817807607266e-07,34.40537386865526,54.999999951830205
24,N3,1.071118482308665e-06,1.7181817879489237e-07,37.04297291513381,55.00000003002316
24,N4,1.07111846768777e-06,1.7181817911631398e-07,35.69941406248803,55.00000012468349
24,N5,1.071118454625322e-06,1.7181817947189354e-07,34.5786760339625,55.00000022590733
24,N6,1.0711184554881414e-06,1.7181817991742427e-07,42.71633119377754,55.000000128951505
24,N7,1.0711184592754923e-06,1.7181818037378704e-07,48.77308246306481,55.000000132140414
24,N8,1.07111839810169e-06,1.7181818280675122e-07,140.18120684671914,55.00000021145475
24,N9,1.0711184326933295e-06,1.7181817948510924e-07,32.22930281546869,55.00000028767037
