scenario,probability,hour,node,p_charge_mw,p_discharge_mw,soc_mwh
high,0.25,4,N5,0.0,-0.0,-0.0
high,0.25,4,N6,0.0,0.0,-0.0
high,0.25,4,N7,0.0,0.0,-0.0
high,0.25,4,N8,0.0,0.0,-0.0
high,0.25,4,N9,0.0,0.0,-0.0
high,0.25,5,N1,0.0,0.0,0.0
high,0.25,5,N2,0.0,-0.0,0.0
high,0.25,5,N3,0.0,-0.0,0.0
high,0.25,5,N4,0.0,-0.0,0.0
high,0.25,5,N5,0.0,-0.0,-0.0
high,0.25,5,N6,0.0,-0.0,-0.0
high,0.25,5,N7,0.0,0.0,0.0
high,0.25,5,N8,0.0,-0.0,0.0
high,0.25,5,N9,0.0,0.0,-0.0
high,0.25,6,N1,0.0,-0.0,-0.0
high,0.25,6,N2,0.0,-0.0,-0.0
high,0.25,6,N3,0.0,-0.0,0.0
high,0.25,6,N4,0.0,-0.0,0.0
high,0.25,6,N5,0.0,0.0,-0.0
high,0.25,6,N6,0.0,0.0,0.0
high,0.25,6,N7,0.0,-0.0,-0.0
high,0.25,6,N8,0.0,-0.0,0.0
high,0.25,6,N9,0.0,0.0,0.0
high,0.25,7,N1,0.0,0.0,-0.0
high,0.25,7,N2,0.0,-0.0,0.0
high,0.25,7,N3,0.0,0.0,-0.0
high,0.25,7,N4,0.0,-0.0,-0.0
high,0.25,7,N5,0.0,0.0,-0.0
high,0.25,7,N6,0.0,0.0,-0.0
high,0.25,7,N7,0.0,0.0,-0.0
high,0.25,7,N8,0.0,0.0,-0.0
high,0.25,7,N9,0.0,0.0,-0.0
high,0.25,8,N1,0.0,-0.0,0.0
high,0.25,8,N2,0.0,-0.0,-0.0
high,0.25,8,N3,0.0,-0.0,0.0
high,0.25,8,N4,0.0,-0.0,0.0
high,0.25,8,N5,0.0,0.0,-0.0
high,0.25,8,N6,0.0,-0.0,0.0
high,0.25,8,N7,0.0,-0.0,0.0
high,0.25,8,N8,0.0,-0.0,0.0
high,0.25,8,N9,0.0,-0.0,-0.0
high,0.25,9,N1,0.0,0.0,-0.0
high,0.25,9,N2,0.0,-0.0,0.0
high,0.25,9,N3,0.0,-0.0,0.0
high,0.25,9,N4,0.0,-0.0,0.0
high,0.25,9,N5,0.0,0.0,-0.0
high,0.25,9,N6,0.0,-0.0,0.0
high,0.25,9,N7,0.0,-0.0,-0.0
high,0.25,9,N8,0.0,-0.0,0.0
high,0.25,9,N9,0.0,0.0,0.0
high,0.25,10,N1,0.0,0.0,-0.0
high,0.25,10,N2,0.0,0.0,-0.0
high,0.25,10,N3,0.0,-0.0,0.0
high,0.25,10,N4,0.0,0.0,-0.0
high,0.25,10,N5,0.0,0.0,-0.0
high,0.25,10,N6,0.0,-0.0,0.0
high,0.25,10,N7,0.0,0.0,-0.0
high,0.25,10,N8,0.0,-0.0,-0.0
high,0.25,10,N9,0.0,-0.0,0.0
high,0.25,11,N1,0.0,-0.0,0.0
high,0.25,11,N2,0.0,0.0,-0.0
high,0.25,11,N3,0.0,-0.0,0.0
high,0.25,11,N4,0.0,-0.0,-0.0
high,0.25,11,N5,0.0,0.0,-0.0
high,0.25,11,N6,0.0,-0.0,0.0
high,0.25,11,N7,0.0,0.0,-0.0
high,0.25,11,N8,0.0,0.0,0.0
high,0.25,11,N9,0.0,-0.0,0.0
high,0.25,12,N1,0.0,0.0,-0.0
high,0.25,12,N2,0.0,0.0,-0.0
high,0.25,12,N3,-0.0,0.0,0.0
high,0.25,12,N4,0.0,0.0,-0.0
high,0.25,12,N5,0.0,0.0,-0.0
high,0.25,12,N6,44.07026691176529,0.0,41.24976982941231
high,0.25,12,N7,0.0,0.0,-0.0
high,0.25,12,N8,0.0,0.0,-0.0
high,0.25,12,N9,50.24598308823497,0.0,47.03024017058794
high,0.25,13,N1,0.0,0.0,-0.0
high,0.25,13,N2,0.0,0.0,-0.0
high,0.25,13,N3,-0.0,0.0,-0.0
high,0.25,13,N4,0.0,-0.0,-0.0
high,0.25,13,N5,0.0,0.0,0.0
high,0.25,13,N6,44.07026691176529,0.0,82.49953965882462
high,0.25,13,N7,0.0,0.0,-0.0
high,0.25,13,N8,27.845290178571304,0.0,26.06319160714274
high,0.25,13,N9,93.1931929096637,0.0,134.25906873403315
high,0.25,14,N1,0.0,0.0,-0.0
high,0.25,14,N2,0.0,0.0,-0.0
high,0.25,14,N3,-0.0,0.0,-0.0
high,0.25,14,N4,0.0,0.0,-0.0
high,0.25,14,N5,0.0,0.0,-0.0
high,0.25,14,N6,43.69061929359697,0.0,123.39395931763138
high,0.25,14,N7,0.0,0.0,-0.0
high,0.25,14,N8,49.91868779673962,0.0,72.78708338489105
high,0.25,14,N9,93.1931929096637,0.0,221.48789729747836
high,0.25,15,N1,0.0,0.0,-0.0
high,0.25,15,N2,0.0,0.0,-0.0
