scenario,hour,node,embedded_lambda_eur_per_mwh,reference_lambda_eur_per_mwh
high,14,N3,5.060911381657119e-08,-0.0
high,14,N4,52.20000039142048,52.20000000000002
high,14,N5,52.20000040966328,52.20000000000003
high,14,N6,7.129044396449608e-08,-0.0
high,14,N7,52.200000384800035,52.2
high,14,N8,3.5363538328988374e-08,-0.0
high,14,N9,5.0572704254128404e-08,-0.0
high,15,N1,52.20000024814532,52.20000000000002
high,15,N2,52.20000033494506,52.2
high,15,N3,1.0597481551051535e-07,-0.0
high,15,N4,52.20000025130672,52.20000000000002
high,15,N5,52.20000030160453,52.20000000000003
high,15,N6,1.8494409943044608e-07,-0.0
high,15,N7,52.20000033639294,52.2
high,15,N8,5.640022021398492e-08,-0.0
high,15,N9,1.0593840173226593e-07,-0.0
high,16,N1,59.99999605547924,60.0
high,16,N2,52.20000035207354,52.2
high,16,N3,5.390270266068552,5.390243902439018
high,16,N4,59.99999605920151,60.0
high,16,N5,57.30487561399684,57.30487804878051
high,16,N6,2.9350292023585575e-05,-0.0
high,16,N7,52.20000035366132,52.2
high,16,N8,8.586366053809385,8.586341463414602
high,16,N9,5.390270266068552,5.390243902439018
high,17,N1,52.20000060699175,52.2
high,17,N2,52.20000053079161,52.2
high,17,N3,52.200000504406425,52.2
high,17,N4,52.20000061115191,52.2
high,17,N5,52.200000612053465,52.2
high,17,N6,52.2000004971159,52.2
high,17,N7,52.20000054546669,52.2
high,17,N8,52.200000505979276,52.2
high,17,N9,52.200000504406425,52.2
high,18,N1,60.00000052654672,60.0
high,18,N2,60.00000045095456,60.0
high,18,N3,60.000000492990885,60.0
high,18,N4,60.00000053516203,60.0
high,18,N5,60.000000547274986,60.0
high,18,N6,60.00000050266563,60.0
high,18,N7,60.000000491535154,60.0
high,18,N8,60.00000048475586,60.0
high,18,N9,60.000000493007036,60.0
high,19,N1,60.00000079582166,60.0
high,19,N2,60.00000080700089,60.0
high,19,N3,60.00000085246527,60.0
high,19,N4,60.00000084203936,60.0
high,19,N5,60.00000088447245,60.0
high,19,N6,60.00000084814087,60.0
high,19,N7,60.00000084758148,60.0
high,19,N8,60.00000085381063,60.0
high,19,N9,60.000000852475104,60.0
high,20,N1,60.00000187507268,60.0
high,20,N2,60.00000191318634,60.0
high,20,N3,60.00000195903231,60.0
high,20,N4,60.000001939271286,60.0
high,20,N5,60.000001988731285,60.0
high,20,N6,60.00000194967833,60.0
high,20,N7,60.00000195376693,60.0
high,20,N8,60.00000196383859,60.0
high,20,N9,60.000001959040425,60.0
high,21,N1,60.000000938874194,60.0
high,21,N2,60.00000096269888,60.0
high,21,N3,60.00000101486646,60.0
high,21,N4,60.00000099669503,60.0
high,21,N5,60.00000103407816,60.0
high,21,N6,60.00000100946735,60.0
high,21,N7,60.00000100327947,60.0
high,21,N8,60.00000101717571,60.0
high,21,N9,60.000001014873384,60.0
high,22,N1,60.00000062777224,60.0
high,22,N2,60.000000608865804,60.0
high,22,N3,60.00000066604953,60.0
high,22,N4,60.000000656707975,60.0
high,22,N5,60.00000067782428,60.0
high,22,N6,60.000000665230914,60.0
high,22,N7,60.0000006494464,60.0
high,22,N8,60.00000066530579,60.0
high,22,N9,60.000000666055854,60.0
high,23,N1,60.00000058300193,60.0
high,23,N2,60.00000054320005,60.0
high,23,N3,60.00000060309297,60.0
high,23,N4,60.00000059988035,60.0
high,23,N5,60.00000061189315,60.0
high,23,N6,60.000000604769824,60.0
high,23,N7,60.000000583780654,60.0
high,23,N8,60.00000060054892,60.0
high,23,N9,60.00000060309897,60.0
high,24,N1,60.00000055065297,60.0
high,24,N2,60.0000005013053,60.0
high,24,N3,60.0000005625212,60.0
high,24,N4,60.00000056268723,60.0
high,24,N5,60.00000057033718,60.0
high,24,N6,60.00000056541908,60.0
high,24,N7,60.0000005418859,60.0
high,24,N8,60.00000055904687,60.0
high,24,N9,60.00000056252702,60.0
