fleet,case,gamma,investor,node,hour,p_charge_mw,p_discharge_mw,net_injection_mw
final_gamma1e4,hard_min_norm,,I1,N3,13,0.8462043240579332,-9.552055590559291e-09,-0.8462043336099888
final_gamma1e4,hard_min_norm,,I2,N3,13,0.7130218779767596,-9.553766395705555e-09,-0.7130218875305261
final_gamma1e4,hard_min_norm,,I3,N3,13,0.09387053653766278,-9.55761008610311e-09,-0.09387054609527287
final_gamma1e4,hard_min_norm,,I4,N3,13,0.7698711270674412,-9.56098882738427e-09,-0.76987113662843
final_gamma1e4,hard_min_norm,,I1,N3,14,0.8459409845903313,-9.556750505365642e-09,-0.8459409941470818
final_gamma1e4,hard_min_norm,,I2,N3,14,0.7126855158213213,-9.558442241393101e-09,-0.7126855253797636
final_gamma1e4,hard_min_norm,,I3,N3,14,0.09317740604651317,-9.562247036886206e-09,-0.09317741560876021
final_gamma1e4,hard_min_norm,,I4,N3,14,0.7675838524292932,-9.565601824302265e-09,-0.767583861994895
final_gamma1e4,hard_min_norm,,I1,N3,15,0.8457315646267163,-9.559153883531768e-09,-0.8457315741858702
final_gamma1e4,hard_min_norm,,I2,N3,15,0.7123603115273315,-9.560839018312892e-09,-0.7123603210881705
final_gamma1e4,hard_min_norm,,I3,N3,15,0.09197312663518008,-9.564579804512596e-09,-0.09197313619975989
final_gamma1e4,hard_min_norm,,I4,N3,15,0.07910264829171683,-9.567889502121427e-09,-0.07910265785960634
final_gamma1e4,hard_min_norm,,I1,N3,16,0.0033173173477294786,-9.568707205895955e-09,-0.0033173269164366846
final_gamma1e4,hard_min_norm,,I2,N3,16,0.0025411304158499226,-9.569533353869784e-09,-0.0025411399853832763
final_gamma1e4,hard_min_norm,,I3,N3,16,0.001622321453555659,-9.57131476474743e-09,-0.001622331024870424
final_gamma1e4,hard_min_norm,,I4,N3,16,0.0012484094495797174,-9.573023540840986e-09,-0.0012484190226032582
final_gamma1e4,hard_min_norm,,I1,N3,17,-9.416896625480737e-09,-8.412492195406842e-09,1.004404430073895e-09
final_gamma1e4,hard_min_norm,,I2,N3,17,-9.416358834014142e-09,-8.413213412332901e-09,1.0031454216812401e-09
final_gamma1e4,hard_min_norm,,I3,N3,17,-9.415062134809656e-09,-8.416876285348263e-09,9.981858494613935e-10
final_gamma1e4,hard_min_norm,,I4,N3,17,-9.41415174813547e-09,-8.423755839995197e-09,9.903959081402742e-10
final_gamma1e4,hard_min_norm,,I1,N3,18,-9.577259215374598e-09,0.37896815815315565,0.37896816773041486
final_gamma1e4,hard_min_norm,,I2,N3,18,-9.577258210339129e-09,0.3193498938618567,0.3193499034391149
final_gamma1e4,hard_min_norm,,I3,N3,18,-9.57722057007035e-09,0.04163645737062307,0.04163646694784364
final_gamma1e4,hard_min_norm,,I4,N3,18,-9.577275659575687e-09,0.2014223592650672,0.20142236884234288
final_gamma1e4,hard_min_norm,,I1,N3,19,-9.577272810972797e-09,0.23380212111867227,0.23380213069594508
final_gamma1e4,hard_min_norm,,I2,N3,19,-9.577274489251347e-09,0.19634110775166003,0.19634111732893453
