hour,node,p_charge_mw,p_discharge_mw,soc_mwh,lambda_eur_per_mwh
16,N2,2.194101731429957e-07,4.0534508170658335e-07,2.366258014052275e-05,74.15070808928179
16,N3,8.636500514203967e-07,1.963861418859171e-07,177.32599639762782,44.92892058355069
16,N4,5.289073100672656e-07,2.0202503551412492e-07,2.7325008442043146e-05,59.99999998538422
16,N5,3.5014922313568916e-07,2.494141768469504e-07,2.645023668777277e-05,64.88947231791262
16,N6,7.822046856254769e-07,1.827882949291075e-07,2.9671520853654004e-05,54.70786520702524
16,N7,2.1940809827724708e-07,4.053524660563696e-07,2.3662957026096105e-05,74.15070808928179
16,N8,61.56211872631448,1.5839037640059912e-07,471.12632518885744,39.1305816508683
16,N9,8.635544462858245e-07,1.9640804580463964e-07,178.4096198325103,44.92892058355067
17,N1,5.294981367548962e-07,2.0190553408999157e-07,2.7604883437690226e-05,60.000000042907686
17,N2,2.125650176763232e-06,1.4898079747111507e-07,2.5493021187307413e-05,60.00000012085864
17,N3,2.0405309960319566e-07,7.001162252512952e-07,177.3259958406341,60.00000002341843
17,N4,5.295026483192477e-07,2.0190803576565323e-07,2.7604909207445116e-05,60.00000006327976
17,N5,6.877300579436301e-07,1.823254187159675e-07,2.689915990799522e-05,60.00000011703949
17,N6,3.5913075425309635e-07,2.5730817373259134e-07,2.9732765344621452e-05,60.00000004112042
17,N7,2.1254347747324016e-06,1.4898187105903599e-07,2.549319530958427e-05,60.000000120858644
17,N8,1.99330167589791e-07,7.609635785457213e-07,471.12632456243523,60.00000001144425
17,N9,2.0407380366275696e-07,6.998907479919204e-07,178.40961927577686,60.000000023418465
18,N1,2.520433747243454e-07,3.5281269375164414e-07,2.746385939780866e-05,67.1499999066713
18,N2,3.9915247591441177e-07,2.2145742964246024e-07,2.5630028086769222e-05,67.1500000449246
18,N3,1.524038292981895e-07,18.826343119810577,157.212381539042,67.14999994472485
18,N4,2.5204065222387833e-07,3.5281556672036707e-07,2.7463879549892087e-05,67.1499999508866
18,N5,2.843435598114633e-07,2.991450224181892e-07,2.6845706097053336e-05,67.15000006136235
18,N6,2.0427758427465967e-07,5.504933959819047e-07,2.9335835193436393e-05,67.1499999470836
18,N7,3.9914594681246843e-07,2.214596720039228e-07,2.5630193702121336e-05,67.1500000449246
18,N8,1.524038298248379e-07,29.892900739354282,439.1894649408178,67.14999996237029
18,N9,1.524038292869574e-07,18.580856754808877,158.55827673166522,67.14999994798035
19,N1,2.522149752216018e-07,3.5240536136519934e-07,2.7323431160166078e-05,67.14999997443874
19,N2,3.98766946268493e-07,2.2161803917938144e-07,2.5766502539096847e-05,67.15000028802989
19,N3,1.5240382852083392e-07,14.291034974135723,141.944181923,67.15000004549319
19,N4,2.5221186786197016e-07,3.524071628828387e-07,2.732344647906256e-05,67.15000002245569
19,N5,2.8439060867995364e-07,2.989933535982553e-07,2.6792458363189892e-05,67.15000034228385
19,N6,2.0460820367580987e-07,5.478601370196994e-07,2.894202781286787e-05,67.15000003637795
19,N7,3.987604050745075e-07,2.2162026398535184e-07,2.5766659654961938e-05,67.15000028802989
19,N8,1.5240383165203333e-07,49.458006582857614,386.3497144607567,67.15000014340961
19,N9,1.5240382872052583e-07,14.625585648922646,142.93265118102178,67.15000006061418
20,N1,2.523624363527902e-07,3.5206016720096456e-07,2.71835097433263e-05,67.15000004032748
20,N2,3.984058850870404e-07,2.2175330514561254e-07,2.5902494523237447e-05,67.15000034091324
20,N3,1.5240382772184606e-07,12.817265409296256,128.25052244033347,67.15000009700198
20,N4,2.5235888512914113e-07,3.520607811353304e-07,2.7183521082364666e-05,67.1500000927695
20,N5,2.8445727261467206e-07,2.9889553543866144e-07,2.6739377533350108e-05,67.15000038630434
20,N6,2.0489124511092902e-07,5.456486402886255e-07,2.855084806926539e-05,67.15000010327357
20,N7,3.983993821829847e-07,2.2175551940828253e-07,2.5902643186719092e-05,67.15000034091324
20,N8,1.5240383247362447e-07,62.57273543502575,319.49850153179796,67.15000021979206
20,N9,1.524038280302635e-07,13.25696312112014,128.76922918572288,67.15000011572437
21,N1,2.5248768314370503e-07,3.5178144156328356e-07,2.7044003341283756e-05,67.15000004969613
21,N2,3.980798017474034e-07,2.218644513139705e-07,2.6038062547465803e-05,67.15000024805968
21,N3,1.5240382664446141e-07,10.342116752584515,117.20125254817093,67.15000007535697
21,N4,2.5248388918731866e-07,3.517814170132231e-07,2.704401115540766e-05,67.15000010463497
21,N5,2.8453365601004824e-07,2.9883736482174013e-07,2.6686430346463406e-05,67.15000026576962
21,N6,2.0512737253339984e-07,5.438500095707059e-07,2.8161810954945215e-05,67.1500001027512
21,N7,3.980733693372611e-07,2.2186665993361604e-07,2.6038202830575185e-05,67.15000024805971
21,N8,1.5240383128936915e-07,45.60412874741025,270.77614190157374,67.15000018132153
21,N9,1.524038269273887e-07,10.606855428188833,117.43711882817112,67.15000009247089
22,N1,2.5259269246583375e-07,3.5157398915211e-07,2.6904816865158155e-05,67.14999999722235
22,N2,3.978105097043471e-07,2.2195328994610834e-07,2.6173283601273313e-05,67.15000013126281
22,N3,1.5240382542724362e-07,8.476979597024453,108.14465055724777,67.15000002758212
22,N4,2.525886914048425e-07,3.5157326960237644e-07,2.6904821703038686e-05,67.15000005488186
22,N5,2.845984448712743e-07,2.9879638242323437e-07,2.6633587586564586e-05,67.15000013753992
22,N6,2.0531682402807018e-07,5.424505204239321e-07,2.777444634793641e-05,67.15000005201338
22,N7,3.9780414571884386e-07,2.2195549475636855e-07,2.6173415572125748e-05,67.15000013126281
22,N8,1.524038293145008e-07,24.240430085491983,244.87824665374083,67.15000009725803
22,N9,1.524038256068818e-07,8.57310654253933,108.27781710913378,67.15000003973722
23,N1,2.526718144950063e-07,3.514213026752302e-07,2.676586757382972e-05,67.14999995300298
23,N2,3.976101209625177e-07,2.220210054797439e-07,2.6308244745562876e-05,67.1500000620916
23,N3,1.5240382460721218e-07,7.649061620565284,99.97257631895194,67.1500000005818
23,N4,2.5266758342613954e-07,3.5141979956547307e-07,2.6765870057316282e-05,67.15000001363876
23,N5,2.8464365818965594e-07,2.987626359667049e-07,2.658082320023833e-05,67.15000006587287
23,N6,2.0545859883427548e-07,5.414111363191261e-07,2.7388324895249643e-05,67.15000001483352
23,N7,3.9760380446167186e-07,2.2202320634298887e-07,2.63083684528209e-05,67.1500000620916
23,N8,1.5240382803000157e-07,17.86716415125292,225.78939620744538,67.15000004133665
23,N9,1.5240382470436445e-07,7.664698898595986,100.0890363772154,67.15000000810909
24,N1,2.5272411910678435e-07,3.5132024835310336e-07,2.662707520363727e-05,67.14999992599341
24,N2,3.97475563484717e-07,2.22067436178283e-07,2.644303033860607e-05,67.15000002712014
24,N3,1.5240382404418758e-07,7.22693205666901,92.25149520447691,67.14999998378237
24,N4,2.52719771702451e-07,3.5131831970252144e-07,2.6627075678477514e-05,67.14999998822476
24,N5,2.8467222923023156e-07,2.987389222170412e-07,2.652811089160868e-05,67.15000002951683
24,N6,2.0555276911267047e-07,5.407234438597783e-07,2.7003026300109428e-05,67.14999999228974
24,N7,3.97469278025473e-07,2.220696332607263e-07,2.644314581536393e-05,67.15000002712014
24,N8,1.5240382731251762e-07,15.798297693405614,208.91087317337997,67.15000001222803
24,N9,1.524038241027671e-07,7.214745815390418,92.38097475128586,67.14999998889277
